english_sentence,korean_sentence
"taking the trouble (to do something), persistently","굳이"
"request, ask a favor","부탁"
"help, aid, assistance, support","도움"
"offer, provision, supply, provide","제공"
"acquisition, procure, obtain; entry into water","입수"
"root; root, origin","뿌리"
"progress, in the process of doing, proceed (moving forward)","진행"
"during, interval, while","동안"
"from now on; forward","앞으로"
"development, growth, progress, develop, advance(ment) (process of developing); electricity generation","발전"
"growth, devlopment","성장"
"revolution; innovation","혁명"
"the past, history; past tense","과거"
"historical, being historic","역사적"
"legend (story)","전설"
"folk tale, legend","옛날얘기"
"hope, wish, desire, be hopeful (interchangeable with 바라다 but used for slightly bigger/dire situations)","희망"
"wish (something specific), desire","소원"
"substitution, alternation, replacement; come to the point; at all, ever, (how/what/why) on earth, what the hell","대체"

"living thing, creature; biology","생물"
"pet","애완동물"
"animal","동물"
"fish","물고기"
"chicks (animal)","병 아리"
"puppy","강아지"
"cat","고양이"
"dog; counter","개"
"new; bird","새"
"rabbit","토끼"
"chicken (living animal)","닭"
"tiger; scary, a brute, a cruel person","호랑이"
"pig","돼지"
"bug, insect; worm; hard worker","벌레"
"mosquito","모기"
"monkey","원숭이"
"lion, lioness","사자"
"rat, mouse; cramp, (muscle) spasm","쥐"
"fox, vixen; actress","여우"
"bear; slow person","곰"
"spider","거미"
"squid, cuttlefish","오징어"
"fly (bug); paris","파리"
"cow; filling (food related); small; claim, case","소"
"duck","오리"
"ant","개미"
"shrimp, prawn","새우"
"butterfly","나비"
"dragonfly; bed, bed clothes, sleep with someone","잠자리"
"elephant","코끼리"
"frog","개구리"
"alien (extraterrestrial)","외계인"
"color","색깔"
"black, a dark color","검은색"
"black (night sky, no light)","검정"
"black","까만색"
"red","빨간색"
"(noun) white","흰색"
"white, whiteness, white tint","하양"
"(adj) white, pale","하얀"
"yellow (noun)","노랑"
"yellow","노란색"
"yellow, yellow sun","황색"
"light yellowish green (pea)","연두색"
"green","초록색"
"green","녹색"
"light brown","갈색"
"gray","회색"
"pink","분홍색"
"pink (more common)","핑크"
"red, crimson, scarlet","빨강"
"orange (color)","주황색"
"violet, purple","보라색"
"blue","청색"
"indigo, deep blue, navy","남색"
"sky blue","하늘색"
"brown, chestnut","밤색"
"reddish brown","고동색"
"blue (noun); wave, ripple","파랑"
"light purple, violet","연보라"
"white","하양색"
"clothes","옷"
"clothing, clothes (slightly more formal word)","의류"
"formal wear (outfit, dress, suit)","정장"
"school uniform","교복"
"uniform","제복"
"dress shirt (white shirt)","와이셔츠"
"t-shirt","티셔츠"
"dress","원피스"
"dress, gown (fancier)","드레스"
"coat (like a trenchcoat)","코트"
"overcoat (seems bigger/not that common)","외투"
"jacket (lighter/might be closer to high fashion styles)","재킷"
"vest","조끼"
"sweater","스웨터"
"blouse","블라우스"
"pants","바지"
"blue jeans","청바지"
"skirt","치마"
"shorts","반바지"
"underwear","속옷"
"stockings, pantyhose","스타킹"
"socks","양말"
"slipper","슬리퍼"
"shoes (same as 신발), footwear; god; joy, delight","신"
"dress shoes","구두"
"shoes, footwear","신발"
"sports shoes, sneakers","운동화"
"rubber shoes","고무신"
"boots (dealing with weather eg rain boots); a long talk","장화"
"boots","부츠"
"wallet","지갑"
"bag","가방"
"pocket; bag, pouch; being full of (person full of)","주머니"
"pocket (less common)","호주머니"
"belt (load/more common)","벨트"
"backpack","배낭"
"envelope, bag","봉투"
"(pair of) gloves","장갑"
"hat, cap; mother and son","모자"
"glasses, eyeglasses","안경"
"sunglasses","선글라스"
"necklace, choker","목걸이"
"scarf","목도리"
"scarf (more common)","스카프"
"ring","반지"
"earring","귀걸이"
"bracelet, wristlet","팔찌"
"necktie","넥타이"
"suit","양복"
"swimsuit, bathing suit","수영복"
"fashion, trend; outbreak, spread, be prevalent","유행"
"style","스타일"
"mask, disguise; sickness; snag, trouble","탈"
"cosmetics, makeup","화장품"
"make-up, putting on cosmetics; cremation","화장"
"perfume, fragrance; homesickness, nostalgia","향수"
"mirror; example","거울"
"skill, technique, technology; description","기술"
"skill, ability, capability, talent (only tangible skills); force, strong action","실력"
"function, role; skill","기능"
"role (act as a role), function; job, work (can be demeaning); situation, circumstances","노릇"
"operation (of a device)","작동"
"talent, gift (for); genius, talented","재능"
"talent (for something that anyone can have with enough practice), skill, gift (for)","재주"
"specialty, specialize; the whole text","전문"
"advantage, strength, strong point","장점"
"weakness, flaw, shortcoming (personality or thing that has defective or negative aspects to it)","단점"
"difficulty, trouble, problem, hardship","어려움"
"tribe; shortage, lack, deficiency, insufficiency","부족"
"question, query","질문"
"inquiry (into), ask about something, check; morning meeting","조회"
"problem, question","문제"
"problem, problem point (in something) drawback, the point in question","문제점"
"question (less common)","물음"
"investigation, inquiry, look into, go over; poll, survey; postposition; eulogy","조사"
"hint, tip","귀띔"
"answer, response (closer to a general response to something)","대답"
"response, , reply, answer (written letter etc)","답장"
"(positive) response","호응"
"answer (to), reply (to); answer; solution","답"
"agreement, agreeing","동의"
"admitting, acknowledgement, accept","인정"
"approval, acknowledgement","승인"
"approval, agreement, consent","찬성"
"the rest, the remainder; outcome, result","나머지"
"result, outcome, consequence, effect","결과"
"grade, mark, results; sexual","성적"
"score, mark, grade; the number of items","점수"
"effect, efficiency, effectiveness","효과"
"influence, effect, impact","영향"
"(noun) be moving, touching, impressive","감동적"
"end, finish, close; point, edge","끝"
"coercion, by force","강제"
"subject, theme, topic","주제"
"example; yes; here, this","예"
"example; view","보기"
"case, circumstances, scenario; reasonable","경우"
"situation, state of things, circumstances, condition","상황"
"(neg) reason; situation, circumstance; beg, plead; ejaculation; inspection","사정"
"the present situation, phenomenon, existing circumstances, status quo; develop, have something developed; reward, bounty, prize","현상"
"condition, state","상태"
"serious matter, major concern; big event, important occasion","큰일"
"preparations, be (get) ready","준비"
"tool, instrument; means (of)","도구"
"means/tool, way, method; way(s), skill (specific means to achieve a purpose/means of...)","수단"
"way, method (how/general way to do something)","방법"
"direction, way, course","방향"
"one-way, each way (traveling context)","편도"
"all directions everywhere, 4 sides, all sides","사방"
"method, way, means","방식"
"form, style; way; ceremony; expression (math)","식"
"form, formality, convention; type, style, format, template, form","형식"
"style, pattern; Western-style food, food stores; form (document); good sense; culture, farming (of fish)","양식"
"process (with checkpoints); (scholastic) course","과정"
"purpose, aim, goal, objective","목적"
"usage, use; direction for use, instrucion for use in a certain way","용법"
"target, goal, aim, purpose, objective","목표"
"one's destination","목적지"
"intention, aim, purpose (focus on the speaker)","의도"
"meaning, sense, mean, signify, implication; importance","의미"
"reason, cause, excuse for","이유"
"reason (rational), rationality, intellect; the opposite sex","이성"
"excuse, pretext (for doing something bad)","핑계"
"excuse, justification","변명"
"cause, factor, reason","원인"
"logic, reasoning","논리"
"being logical, reasoning","논리적"
"plan (for), program, design","계획"
"order, command, instructions","명령"
"decision, make up one's mind, resolution; (formal) determination; crystal; fruit, result","결정"
"determination, resolution, decision","결심"
"set-up (decide on something), set (something); settings (options)","설정"
"stubborn; last stage, final stage, last minute, final hours; dead end, bitter end (not common)","막바지"
"rock-paper-scissors","가위바위보"
"responsibility, duty, obligation; blame, responsible (for)","책임"
"one step (referenceing an action or event)","한발"
"stage, phase, step","단계"
"the last phase (stage), last half","종반"
"second half, latter part","후반"
"success, succeed","성공"
"site, lot, foundation, ground; (bound noun) one's plan, guess, will","터"
"essential, required, requirements, necessities","필수"
"foundation, basis, base, basics, be based on, groundwork (can be physical in context)","기초"
"basis, foundation, basics, fundamentals; prerequisite, essential (slightly abstract)","기본"
"standard, criteria, basis","기준"
"basic, fundamental","기본적"
"foundation (of), basis (of/for); background; nature, innate quality","바탕"
"standard, criterion, average, norm","표준"
"composition, configuration, formation; form, comprise, make up (formal)","구성"
"level, standard, norm, average","수준"
"high rank, seniority, high class","고급"
"characteristics, (distinct) feature","특징"
"characteristic, nature, property, quality, attribute","특성"
"quality","품질"
"unconditional","무조건"
"advice, consultation, consult somebody about something; business talk","상담"
"advice, counsel, hint, tip","조언"
"qualificiation, right (to do); capacity","자격"
"condition (for), terms (of)","조건"
"choice, selection, select","선택"
"recommend, recommendation","추천"
"consideration (for), regard, care, thoughtfulness","배려"
"(lean towards one)side, direction; party (group is split); chapter, section","편"
"reference, refer (to)","참고"
"symbol (expressing an abstract in a tangible way)","상징"
"materials, data","자료"
"material, raw material, ingredient","재료"
"contents, substance, details, message","내용"
